10,1,0
0.2,1,1
0.2,1,2
0.2,1,3
0.2,1,4
4,5,0
0,5,4
0,14,2
0,7,1
0,7,3
4,5,0
0,5,4
0,7,1
0,7,3
0,11,2
1,13,0
0,13,0
5,4,1
0,4,3
1,4,0
0,4,4
0,1,2
0.3,4,2
0.3,4,3
1,4,1
0,4,4
0,1,2
0.3,4,3
0.3,4,1
1,4,4
0,4,0
0,1,2
0.3,4,2
0.3,4,3
1,4,1
0,4,3
0,1,2
4,7,0
0.5,7,0
0.5,7,1
0.5,7,4
0.5,7,2
0,11,3
0.5,7,3
0.5,7,1
0.5,7,4
0.5,7,0
0,11,1
0.5,7,2
0.5,7,3
0.5,7,1
0.5,7,4
0,8,1
0.5,7,2
0.5,7,3
0.5,7,1
0.5,7,4
4,8,2
0.5,7,2
0.5,7,3
0.5,7,1
0.5,7,4
4,9,2
0.5,7,2
0.5,7,3
0.5,7,1
0.5,7,4
2,12,2
1,2,1
0,2,3
4,10,1
1,10,3
1,10,2
1,10,4
0,1,0
0,1,4
1,10,0
1,10,2
1,10,1
0,14,2
10,Boss2,2
