10,1,0
0.5,1,0
0.5,1,0
0.5,1,0
0.5,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,4
0.5,1,4
0.5,1,4
0.5,1,4
0.5,1,4
2,4,0
2,4,1
2,4,2
2,4,3
2,4,4
2,7,0
0,7,1
0,7,2
0,7,3
0,7,4
2,11,0
0,11,2
0,11,4
2,5,0
0,5,4
2,6,1
0,6,3
2,5,2
2,6,0
1,5,1
1,6,4
1,8,0
1,8,3
1,8,0
1,9,1
1,9,3
1,9,2
0.3,10,1
0.3,10,4
0.3,10,0
0.3,10,3
0.3,10,0
0.3,10,1
0.3,10,3
0.3,10,2
2,11,1
2,11,3
2,11,0
2,2,1
0,2,3
2,3,0
0,3,1
0,3,2
0,3,3
0,3,4
10,14,2
