10,12,0
4,12,4
4,12,0
0,12,4
4,14,3
3,14,4
3,14,0
3,14,1
3,14,2
3,14,3
3,14,4
8,3,0
0,3,2
0,3,4
2,11,1
0,11,3
5,13,0
0,1,3
2,13,3
0,1,4
2,13,2
0,1,3
2,13,3
0,1,4
2,13,4
0,1,2
2,13,1
0,1,0
5,12,0
0,12,4
4,13,1
0.3,13,4
0.3,13,0
0.3,13,3
0.3,13,0
0.3,13,1
0.3,13,3
0.3,13,2
4,14,1
0,4,2
0,4,3
4,14,2
0,4,3
0,4,4
4,14,0
0,4,1
0,4,2
3,14,4
0,4,1
0,4,3
4,14,2
0,4,3
0,4,4
0,4,0
4,14,0
0,4,1
0,4,2
0,4,4
4,14,4
0,4,1
0,4,3
0,4,0
10,13,2
0,10,0
0,10,4
