10,1,0
0.5,1,0
0.5,1,0
0.5,1,0
0.5,1,0
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,1
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,2
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,3
0.5,1,4
0.5,1,4
0.5,1,4
0.5,1,4
0.5,1,4
5,13,0
2,13,1
2,13,2
2,13,3
2,13,4
2,7,0
0,7,1
0,7,2
0,7,3
0,7,4
2,11,0
0,11,2
0,11,4
6,5,0
0,5,4
2,6,1
0,6,3
2,5,2
2,6,0
0,5,4
2,6,3
2,3,2
1,8,4
1,9,2
1,8,0
1,9,2
1,8,4
5,10,1
0.3,10,3
0.3,10,0
0.3,10,4
0.3,10,2
0.3,10,3
0.3,10,1
0.3,10,2
4,11,1
0,14,4
2,11,3
2,11,2
6,2,0
0,2,1
0,2,2
0,2,3
0,2,4
2,3,0
0,3,1
0,3,2
0,3,3
0,3,4
10,Boss3,2
